"Type","Mode","TimeMs","Date","Accuracy","VerbCount","TavoiteId","VerbTypes"
"best-time","conjugation","145332","2025-12-23","100","0","",""
"best-time","recall","70350","2025-12-23","100","30","",""
"best-time","active-recall","58527","2025-12-23","100","20","",""
"best-time","recall","40262","2025-12-23","100","20","",""
"best-time","active-recall","136727","2025-12-23","91","30","",""
"tavoite-progress","","44914","2025-12-24","","true","2",""
"tavoite-progress","","9618","2025-12-25","","true","1",""
"tavoite-progress","","56288","2025-12-24","","true","3",""
"tavoite-progress","","58723","2025-12-24","","true","4",""
"tavoite-progress","","37133","2025-12-24","","true","5",""
"tavoite-progress","","96392","2025-12-24","","true","6",""
"tavoite-progress","","33614","2025-12-24","","true","7",""
"tavoite-progress","","41474","2025-12-24","","true","8",""
"tavoite-progress","","23366","2025-12-24","","true","9",""
"tavoite-progress","","38761","2025-12-24","","true","11",""
"tavoite-progress","","24096","2025-12-24","","true","12",""
"tavoite-progress","","48682","2025-12-25","","true","13",""
"tavoite-progress","","48977","2025-12-25","","true","14",""
"tavoite-progress","","29533","2025-12-25","","true","15",""
"tavoite-progress","","11502","2025-12-25","","true","16",""
"tavoite-progress","","16642","2025-12-25","","true","17",""
"tavoite-progress","","11471","2025-12-25","","true","18",""
"tavoite-progress","","9618","2025-12-25","","true","19",""
"tavoite-progress","","111512","2025-12-25","","true","21",""
"tavoite-progress","","46098","2025-12-25","","true","22",""
"tavoite-progress","","76882","2025-12-25","","true","23",""
"tavoite-progress","","48700","2025-12-25","","true","24",""
"tavoite-progress","","50031","2025-12-25","","true","25",""
"tavoite-progress","","20208","2025-12-25","","true","26",""
"tavoite-progress","","17710","2025-12-25","","true","27",""
"tavoite-progress","","35852","2025-12-25","","true","28",""
"tavoite-progress","","41673","2025-12-25","","true","29",""
"tavoite-progress","","22238","2025-12-25","","true","31",""
"tavoite-progress","","23155","2025-12-25","","true","32",""
"tavoite-progress","","27201","2025-12-25","","true","33",""
"tavoite-progress","","21635","2025-12-25","","true","34",""
"tavoite-progress","","40266","2025-12-25","","true","35",""
"tavoite-progress","","37472","2025-12-25","","true","36",""
"tavoite-progress","","22842","2025-12-25","","true","37",""
"tavoite-progress","","17798","2025-12-25","","true","38",""
"tavoite-progress","","24596","2025-12-25","","true","39",""
